Languages,Salary,Machine Learning,Education,Benefits,Experience,url
5,"142,970",Yes,PhD,No,1,https://www.linkedin.com/jobs/view/3480836400/?alternateChannel=search&refId=hzJz0m5p3LFO7tIxWaitKg%3D%3D&trackingId=vL57L5M%2B6bh2eEwBhn9fXg%3D%3D
2,"142,970",Yes,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3482317582/?alternateChannel=search&refId=hzJz0m5p3LFO7tIxWaitKg%3D%3D&trackingId=oEP9Zl7sWKd6%2BCbdzJvrTQ%3D%3D
1,"142,970",Yes,Master,No,0,https://www.linkedin.com/jobs/view/3485598972/?alternateChannel=search&refId=hzJz0m5p3LFO7tIxWaitKg%3D%3D&trackingId=%2BTU10220%2FrTKY%2FORdVzoFA%3D%3D
4,"142,970",Yes,PhD,Yes,0,https://www.linkedin.com/jobs/view/3474104997/?alternateChannel=search&refId=hzJz0m5p3LFO7tIxWaitKg%3D%3D&trackingId=3oumyc0qhUKfnDeF9Jl5LA%3D%3D
4,"142,970",Yes,No Education Required,No,1,https://www.linkedin.com/jobs/view/3499243413/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=8eZmIdS%2F78n5ZkIhD6sS3g%3D%3D
3,"142,970",Yes,PhD,Yes,0,https://www.linkedin.com/jobs/view/3497809413/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=ZbgEVG3%2FOsyrNrVUNE1IjA%3D%3D
3,"$190,150.00",Yes,Master,No,0,https://www.linkedin.com/jobs/view/3485589284/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=qQyYXInBcNp5rdYhy9rkdQ%3D%3D
1,"142,970",Yes,Bachelor,Yes,1,https://www.linkedin.com/jobs/view/3499231522/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=ofD3EYQQb4gt5yR9HmElTw%3D%3D
4,"$100,500",Yes,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3484736484/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=lDvm0eGr3I1LrHNr88YlcQ%3D%3D
0,"142,970",Yes,No Education Required,No,3,https://www.linkedin.com/jobs/view/3482943863/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=PNxMNhkPfGTRgyNKYh59Ew%3D%3D
5,"$100,000",Yes,Master,No,1,https://www.linkedin.com/jobs/view/3485092940/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=6kY%2FhRj3kumCi%2B6ZBhx9sA%3D%3D
4,"142,970",No,Master,Yes,5,https://www.linkedin.com/jobs/view/3498209260/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=HQTdn%2FYRljc9Bod%2FGyQbYQ%3D%3D
3,"142,970",Yes,PhD,Yes,5,https://www.linkedin.com/jobs/view/3497410604/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=tq%2BWMz23cqOdhCoNHkfIIQ%3D%3D
3,"$128,000",Yes,Bachelor,Yes,6,https://www.linkedin.com/jobs/view/3482024773/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=zqtAx1bmrd%2BKKJHnbXQmdQ%3D%3D
3,"142,970",No,PhD,Yes,0,https://www.linkedin.com/jobs/view/3497412440/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=ir%2F%2Bmpp8vuu%2FbxocH4pR2Q%3D%3D
2,"142,970",Yes,PhD,No,5,https://www.linkedin.com/jobs/view/3477186036/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=4MWwcg6GDm7NtyeFhkgt2A%3D%3D
5,"142,970",No,Master,No,3,https://www.linkedin.com/jobs/view/3492905077/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=OzmSTSKMGPbd6TKlVTpEfw%3D%3D
6,"$153,000",No,PhD,Yes,0,https://www.linkedin.com/jobs/view/3495650895/?alternateChannel=search&refId=%2BF%2BFXjeZ97mraoWZ%2F29HXA%3D%3D&trackingId=8jppB5uBQwbM8ImGBexyLQ%3D%3D
3,"$258,000",Yes,Master,Yes,2,https://www.linkedin.com/jobs/view/3477765885/?alternateChannel=search&refId=B74ZU7%2BKFa8WGBQqYfevCw%3D%3D&trackingId=BNvnbkeqXV0iaDexh5gvHQ%3D%3D
4,"142,970",No,Master,Yes,2,https://www.linkedin.com/jobs/view/3507858351/?alternateChannel=search&refId=B74ZU7%2BKFa8WGBQqYfevCw%3D%3D&trackingId=OhZB3Fhl%2FnHSkaHkS7tBtw%3D%3D
0,"$154,240",Yes,PhD,No,0,https://www.linkedin.com/jobs/view/3486730652/?alternateChannel=search&refId=B74ZU7%2BKFa8WGBQqYfevCw%3D%3D&trackingId=O%2Fm6o9%2FYtGkrUY11ny1L8g%3D%3D
5,"142,970",No,Bachelor,No,0,https://www.linkedin.com/jobs/view/3510798014/?alternateChannel=search&refId=B74ZU7%2BKFa8WGBQqYfevCw%3D%3D&trackingId=ia6FFR3VCH6Z3Dfr6gR1sg%3D%3D
4,"142,970",Yes,Master,Yes,0,https://www.linkedin.com/jobs/view/3483520818/?alternateChannel=search&refId=lCMJLZ7NgJ94mbhHQMokqQ%3D%3D&trackingId=qBeQcuiOoOGUne5co8SBrw%3D%3D
5,"$143,800",Yes,PhD,Yes,10,https://www.linkedin.com/jobs/view/3502126460/?alternateChannel=search&refId=lCMJLZ7NgJ94mbhHQMokqQ%3D%3D&trackingId=yN1NUGfDMM%2BcsvZKStEznw%3D%3D
5,"142,970",Yes,Bachelor,No,1,https://www.linkedin.com/jobs/view/3494079586/?alternateChannel=search&refId=QAUMDYnvoyikGeW0pcDomA%3D%3D&trackingId=R%2FIoYEpwKzDjv3ZcPY5tFQ%3D%3D
6,"$150,000",Yes,PhD,Yes,0,https://www.linkedin.com/jobs/view/3493573277/?alternateChannel=search&refId=lCMJLZ7NgJ94mbhHQMokqQ%3D%3D&trackingId=jqoNglC19Wk7gDjXBXktGw%3D%3D
1,"142,970",Yes,No Education Required,No,5,https://www.linkedin.com/jobs/view/3487708421/?alternateChannel=search&refId=lCMJLZ7NgJ94mbhHQMokqQ%3D%3D&trackingId=svWgJo4BUqrwc5V%2FpG1BZg%3D%3D
3,"142,970",Yes,PhD,No,5,https://www.linkedin.com/jobs/view/3490335163/?alternateChannel=search&refId=lCMJLZ7NgJ94mbhHQMokqQ%3D%3D&trackingId=AGJHzw6elSZvQ1Lbf4Pgmg%3D%3D
3,"142,970",Yes,Master,No,0,https://www.linkedin.com/jobs/view/3500300099/?alternateChannel=search&refId=tx24jCRLjQu2wAWhl8q2kw%3D%3D&trackingId=9PAhVDUO3huGX7Ve6aOE9w%3D%3D
6,"142,970",Yes,Master,No,1,https://www.linkedin.com/jobs/view/3493932962/?alternateChannel=search&refId=tx24jCRLjQu2wAWhl8q2kw%3D%3D&trackingId=gGcDWkoYF9IdTRsQT1uOJg%3D%3D
5,"142,970",No,Bachelor,Yes,1,https://www.linkedin.com/jobs/view/3478642744/?alternateChannel=search&refId=tx24jCRLjQu2wAWhl8q2kw%3D%3D&trackingId=EYi2OTBP5HzO2mjtGeXLMg%3D%3D
0,"142,970",Yes,PhD,No,5,https://www.linkedin.com/jobs/view/3478646349/?alternateChannel=search&refId=tx24jCRLjQu2wAWhl8q2kw%3D%3D&trackingId=ODhkdvq5VixPOMl9MWgdow%3D%3D
3,"142,970",Yes,Bachelor,Yes,3,https://www.linkedin.com/jobs/view/3490315684/?alternateChannel=search&refId=tx24jCRLjQu2wAWhl8q2kw%3D%3D&trackingId=k%2BGJSb4h0UYwTjKOwZa4Fg%3D%3D
